Transaction Hash,Status,Method,Blockno,DateTime (UTC),From,From_Nametag,To,To_Nametag,Amount,Value (USD),Txn Fee
"0xdd2b3a92b6fa0e742e57a0566b2b0d316cc3d8965ce50ddf1e1e90fb2e7fdd78","Success","Transfer From","50451188","2026-08-25 21:02:03","0xbB0A533F4e8bFbc7a867b1d2D851472b74E12177","","0xeBf418Fe2512e7E6bd9b87a8F0f294aCDC67e6B4","Aerodrome: Voting Escrow","0 ETH","$0.00","0.00000098"
"0x4f43a44b3a31ce0b30255cadcd2efdd165f8bdd3e0dd1f820532986f4da79e2d","Success","Transfer From","50451114","2026-08-25 20:59:35","0xbB0A533F4e8bFbc7a867b1d2D851472b74E12177","","0xeBf418Fe2512e7E6bd9b87a8F0f294aCDC67e6B4","Aerodrome: Voting Escrow","0 ETH","$0.00","0.00000091"
"0x0828b09c943823d54ba474abea75271d778a146376e78177f83c9cb8e04b442b","Success","Transfer From","50451049","2026-08-25 20:57:25","0xbB0A533F4e8bFbc7a867b1d2D851472b74E12177","","0xeBf418Fe2512e7E6bd9b87a8F0f294aCDC67e6B4","Aerodrome: Voting Escrow","0 ETH","$0.00","0.00000091"
"0x0893687069c7ffe959a8728d4760f8fa2ba96a4b83fc126c2d63879f224257b9","Success","Increase Amount","50451025","2026-08-25 20:56:37","0x1334752203935d80bcA8A89A378bbE36b88961aF","","0xeBf418Fe2512e7E6bd9b87a8F0f294aCDC67e6B4","Aerodrome: Voting Escrow","0 ETH","$0.00","0.00000162"
"0xd9e88a852f24765d8cd6d97fcfdaac7ab01752b2b6378a363a4900f48291f345","Success","Increase Amount","50451009","2026-08-25 20:56:05","0x1334752203935d80bcA8A89A378bbE36b88961aF","","0xeBf418Fe2512e7E6bd9b87a8F0f294aCDC67e6B4","Aerodrome: Voting Escrow","0 ETH","$0.00","0.00000162"
"0xaef461b038cf3c2b6b100b84b37663afd1cfe1763b3bd690e1968304ea535a7d","Success","Increase Amount","50450992","2026-08-25 20:55:31","0x1334752203935d80bcA8A89A378bbE36b88961aF","","0xeBf418Fe2512e7E6bd9b87a8F0f294aCDC67e6B4","Aerodrome: Voting Escrow","0 ETH","$0.00","0.00000163"
"0x21a1c7f2c0422488524d6ba811d7b7e7cdd84987eeae8a3dbfa9c595d436ee70","Success","Increase Amount","50450978","2026-08-25 20:55:03","0x1334752203935d80bcA8A89A378bbE36b88961aF","","0xeBf418Fe2512e7E6bd9b87a8F0f294aCDC67e6B4","Aerodrome: Voting Escrow","0 ETH","$0.00","0.00000163"
"0x0e1710beac80dbefd528d2c86ed21bd7a8f1628290431f07fdfb968a00b13d70","Success","Transfer From","50450975","2026-08-25 20:54:57","0xbB0A533F4e8bFbc7a867b1d2D851472b74E12177","","0xeBf418Fe2512e7E6bd9b87a8F0f294aCDC67e6B4","Aerodrome: Voting Escrow","0 ETH","$0.00","0.00000097"
"0x13ba4dbf72de712d2911f8b44c18daa69e0dc898ddd08900f8e7a1f89f6a54bc","Success","Increase Amount","50450950","2026-08-25 20:54:07","0x1334752203935d80bcA8A89A378bbE36b88961aF","","0xeBf418Fe2512e7E6bd9b87a8F0f294aCDC67e6B4","Aerodrome: Voting Escrow","0 ETH","$0.00","0.00000163"
"0x30a21b8d77d34931827a99c82790f6fa7fa6cdbdd8efec1c84f3b76448a17fe0","Success","Increase Amount","50450931","2026-08-25 20:53:29","0x1334752203935d80bcA8A89A378bbE36b88961aF","","0xeBf418Fe2512e7E6bd9b87a8F0f294aCDC67e6B4","Aerodrome: Voting Escrow","0 ETH","$0.00","0.00000163"
"0xf2b5c1b464f2408c007399cd7c4f1cf8c4ad92f6d28b2fe62db1679c395a0801","Success","Increase Amount","50450915","2026-08-25 20:52:57","0x1334752203935d80bcA8A89A378bbE36b88961aF","","0xeBf418Fe2512e7E6bd9b87a8F0f294aCDC67e6B4","Aerodrome: Voting Escrow","0 ETH","$0.00","0.00000163"
"0x6b8159b781ce2b02545442b1c635c4af229370ea1b943be63f5cea00a720bcb6","Success","Increase Amount","50450900","2026-08-25 20:52:27","0x1334752203935d80bcA8A89A378bbE36b88961aF","","0xeBf418Fe2512e7E6bd9b87a8F0f294aCDC67e6B4","Aerodrome: Voting Escrow","0 ETH","$0.00","0.00000162"
"0x23c80899d9cff449d575a41d2617a4a14d242724c2f15270479258a6e5769c2c","Success","Transfer From","50450896","2026-08-25 20:52:19","0xbB0A533F4e8bFbc7a867b1d2D851472b74E12177","","0xeBf418Fe2512e7E6bd9b87a8F0f294aCDC67e6B4","Aerodrome: Voting Escrow","0 ETH","$0.00","0.00000091"
"0x04eb5c42b78704ebdb25e9b45770308c1e2416b2a365592339421e57e5edeaba","Success","Increase Amount","50450884","2026-08-25 20:51:55","0x1334752203935d80bcA8A89A378bbE36b88961aF","","0xeBf418Fe2512e7E6bd9b87a8F0f294aCDC67e6B4","Aerodrome: Voting Escrow","0 ETH","$0.00","0.00000162"
